time,encounter,minute,behavior,call_type,call_category,t_index
10H 45M 0S,3,1,Travel,NA,NA,-17
10H 46M 0S,3,2,Travel,NA,NA,-16
10H 47M 0S,3,3,Travel,NA,NA,-15
10H 48M 0S,3,4,Travel,NA,NA,-14
10H 49M 0S,3,5,Travel,NA,NA,-13
10H 50M 0S,3,6,Travel,pulse.flat,pc,-12
10H 50M 0S,3,6,Travel,pulse.flat.seg,pc,-12
10H 50M 0S,3,6,Travel,pulse.flat.seg,pc,-12
10H 50M 0S,3,6,Travel,pulse.flat,pc,-12
10H 51M 0S,3,7,Travel,flatws,ws,-11
10H 51M 0S,3,7,Travel,flatws,ws,-11
10H 51M 0S,3,7,Travel,flatws.seg,ws,-11
10H 51M 0S,3,7,Travel,pulse.flat.seg,pc,-11
10H 51M 0S,3,7,Travel,pulse.flat,pc,-11
10H 52M 0S,3,8,Travel,pulse.flat,pc,-10
10H 52M 0S,3,8,Travel,dws,ws,-10
10H 52M 0S,3,8,Travel,pulse.flat,pc,-10
10H 52M 0S,3,8,Travel,pulse.flat,pc,-10
10H 52M 0S,3,8,Travel,pulse.flat,pc,-10
10H 52M 0S,3,8,Travel,pulse.flat.seg,pc,-10
10H 52M 0S,3,8,Travel,pulse.flat,pc,-10
10H 52M 0S,3,8,Travel,pulse.flat.seg,pc,-10
10H 53M 0S,3,9,Travel,flatws,ws,-9
10H 53M 0S,3,9,Travel,flatws,ws,-9
10H 53M 0S,3,9,Travel,flatws,ws,-9
10H 53M 0S,3,9,Travel,modws,ws,-9
10H 53M 0S,3,9,Travel,pulse.flat,pc,-9
10H 53M 0S,3,9,Travel,pulse.flat,pc,-9
10H 53M 0S,3,9,Travel,pulse.flat,pc,-9
10H 53M 0S,3,9,Travel,flatws,ws,-9
10H 53M 0S,3,9,Travel,dws,ws,-9
10H 53M 0S,3,9,Travel,pulse.flat,pc,-9
10H 53M 0S,3,9,Travel,pulse.flat,pc,-9
10H 54M 0S,3,10,Travel,flatws,ws,-8
10H 54M 0S,3,10,Travel,flatws.seg,ws,-8
10H 54M 0S,3,10,Travel,flatws.seg,ws,-8
10H 54M 0S,3,10,Travel,pulse.flat,pc,-8
10H 54M 0S,3,10,Travel,pulse.flat.seg,pc,-8
10H 54M 0S,3,10,Travel,pulse.flat,pc,-8
